Id,Sales
1,6065.19238281
2,6467.07861328
3,7886.58544922
4,6395.69921875
5,7428.90283203
6,6171.82568359
7,6331.1015625
8,6938.17578125
9,5921.36425781
10,6192.23925781
11,6964.30517578
12,7126.78369141
13,6472.87304688
14,6638.49853516
15,6977.01757812
16,5892.48876953
17,6737.51367188
18,7621.02929688
19,7230.16943359
20,8267.85449219
21,7087.36474609
22,6347.54199219
23,7109.47070312
24,5960.41259766
25,7712.70703125
26,6876.50292969
27,7233.32177734
28,6406.67724609
29,5956.65039062
30,5685.21240234
31,6250.83984375
32,8677.8515625
33,6376.8828125
34,6200.68554688
35,5865.77929688
36,7339.28222656
37,6242.93310547
38,7097.44433594
39,6299.13476562
40,6931.76611328
41,7189.94628906
42,6575.85693359
43,6978.59472656
44,6484.54638672
45,5849.87744141
46,6391.93017578
47,7010.45117188
48,8042.72167969
49,6397.61523438
50,7653.18212891
51,6602.88867188
52,7139.41796875
53,7101.59570312
54,7094.1484375
55,5950.43212891
56,6986.60009766
57,7234.45361328
58,7005.1171875
59,7439.36181641
60,7012.20996094
61,6323.58154297
62,6673.92480469
63,6620.25
64,7853.72216797
65,6487.49121094
66,7671.47509766
67,5631.94580078
68,6562.60449219
69,7206.94628906
70,6302.51220703
71,6450.77148438
72,6618.75341797
73,7076.47607422
74,6296.87011719
75,5862.74755859
76,6749.70898438
77,6042.02685547
78,6651.18115234
79,5765.88476562
80,6424.51513672
81,7136.08203125
82,7143.94775391
83,6299.53125
84,7058.61914062
85,6385.05712891
86,7357.68798828
87,7103.14013672
88,6286.00244141
89,7132.10791016
90,7079.77099609
91,6400.74023438
92,6836.40771484
93,6457.40136719
94,6272.53857422
95,6074.11962891
96,5874.32324219
97,6113.50488281
98,5992.17529297
99,6507.75097656
100,6430.69482422
101,5869.20458984
102,6416.38867188
103,6979.52001953
104,6132.16992188
105,5961.60107422
106,5826.02783203
107,6426.05957031
108,6355.78759766
109,7211.90429688
110,7210.70019531
111,7091.77392578
112,7108.05371094
113,6100.57910156
114,7458.54492188
115,6599.40087891
116,6833.31787109
117,7184.96240234
118,6243.87988281
119,7124.65625
120,7088.24365234
121,6876.85742188
122,7101.31103516
123,7144.96289062
124,6916.62890625
125,5966.13476562
126,5939.40332031
127,6825.52050781
128,6681.05859375
129,6750.95800781
130,6010.26367188
131,6544.81396484
132,7021.93457031
133,6189.95410156
134,6784.04638672
135,6439.74853516
136,7388.30712891
137,6551.68457031
138,6433.46777344
139,5995.33691406
140,6681.05859375
141,7102.74707031
142,5132.48974609
143,6855.24560547
144,6212.33007812
145,7135.44873047
146,6130.83056641
147,6884.12890625
148,7102.76074219
149,6517.22412109
150,6230.06054688
151,9308.74316406
152,6725.46240234
153,6169.26513672
154,6636.69433594
155,6534.453125
156,7184.11279297
157,6191.75537109
158,6263.81542969
159,6678.09570312
160,6190.57421875
161,4809.31347656
162,6946.39990234
163,7078.67675781
164,7109.484375
165,6743.49316406
166,6904.18457031
167,6514.234375
168,5819.79052734
169,5875.74121094
170,6222.88037109
171,7144.04296875
172,5938.41748047
173,6536.12402344
174,6544.81396484
175,6933.46533203
176,7231.25244141
177,7159.58935547
178,6864.02636719
179,6544.81396484
180,6801.81884766
181,6464.52539062
182,6951.81494141
183,7134.13574219
184,7304.12744141
185,6023.68164062
186,6020.60888672
187,5857.07421875
188,7414.44824219
189,6846.76367188
190,7596.79003906
191,7132.42773438
